zone,gender,education,customer lifetime value,income,monthly premium auto,number of open complaints,policy type,vehicle class,total claim amount
west region,male,high school or below,7799.463082427189,,89.0,1.0,personal auto,four-door car,640.8
west region,male,bachelor,7799.463082427189,,61.0,0.0,personal auto,two-door car,351.85681
west region,male,bachelor,7799.463082427189,29598.0,87.0,0.0,personal auto,two-door car,150.926696
west region,male,bachelor,7799.463082427189,22907.0,180.0,2.0,personal auto,luxury suv,49.18776
north west,male,bachelor,7799.463082427189,22697.0,186.0,1.0,corporate auto,luxury suv,892.8
west region,male,bachelor,7799.463082427189,70174.0,64.0,0.0,personal auto,four-door car,128.90032
west region,female,high school or below,7799.463082427189,85378.0,107.0,0.0,corporate auto,suv,513.6
central,female,high school or below,7799.463082427189,31477.0,94.0,0.0,special auto,four-door car,146.950756
central,male,bachelor,7799.463082427189,66429.0,136.0,0.0,personal auto,sports car,57.712985
west region,male,high school or below,7799.463082427189,,90.0,0.0,personal auto,four-door car,900.242038
central,female,high school or below,7799.463082427189,,65.0,0.0,personal auto,four-door car,655.489027
north west,female,bachelor,7799.463082427189,,172.0,0.0,corporate auto,suv,141.460349
west region,male,bachelor,7799.463082427189,74217.0,100.0,0.0,personal auto,suv,418.005524
central,male,high school or below,7799.463082427189,46298.0,88.0,3.0,corporate auto,four-door car,128.292466
north west,female,bachelor,7799.463082427189,,135.0,0.0,personal auto,suv,648.0
east,female,high school or below,7799.463082427189,43860.0,65.0,0.0,corporate auto,four-door car,156.124914
central,female,bachelor,7799.463082427189,,69.0,0.0,personal auto,four-door car,331.2
central,male,bachelor,7799.463082427189,48029.0,61.0,0.0,corporate auto,four-door car,292.8
east,female,bachelor,7799.463082427189,86830.0,123.0,0.0,personal auto,suv,480.533246
central,female,bachelor,7799.463082427189,,77.0,0.0,personal auto,two-door car,509.100577
central,female,high school or below,7799.463082427189,40706.0,71.0,0.0,personal auto,four-door car,166.123172
west region,female,high school or below,7799.463082427189,69231.0,65.0,0.0,personal auto,four-door car,193.243084
central,female,bachelor,7799.463082427189,,132.0,0.0,personal auto,suv,950.4
north west,male,bachelor,7799.463082427189,,105.0,0.0,personal auto,four-door car,756.0
central,female,high school or below,7799.463082427189,16171.0,74.0,0.0,corporate auto,four-door car,311.004168
central,male,bachelor,7799.463082427189,51397.0,61.0,0.0,personal auto,four-door car,292.8
north west,female,bachelor,7799.463082427189,83879.0,69.0,0.0,personal auto,four-door car,212.148485
west region,female,bachelor,7799.463082427189,63267.0,92.0,0.0,personal auto,four-door car,530.340202
central,male,bachelor,7799.463082427189,44712.0,82.0,2.0,corporate auto,four-door car,537.78416
west region,male,doctor,7799.463082427189,59311.0,69.0,0.0,corporate auto,four-door car,14.812808
central,male,bachelor,7799.463082427189,81957.0,86.0,0.0,personal auto,four-door car,433.426544
central,male,doctor,7799.463082427189,59601.0,67.0,0.0,personal auto,four-door car,321.6
north west,male,high school or below,7799.463082427189,71034.0,103.0,0.0,corporate auto,four-door car,494.4
east,male,bachelor,7799.463082427189,13103.0,72.0,0.0,personal auto,four-door car,458.003651
north west,male,bachelor,7799.463082427189,20978.0,98.0,1.0,personal auto,four-door car,1176.2788
west region,female,bachelor,7799.463082427189,46503.0,215.0,1.0,personal auto,luxury suv,1032.0
west region,male,bachelor,7799.463082427189,61064.0,113.0,0.0,personal auto,suv,539.774172
north west,female,bachelor,7799.463082427189,17572.0,110.0,0.0,personal auto,two-door car,639.769748
north west,male,master,7799.463082427189,99823.0,116.0,0.0,corporate auto,suv,250.183388
central,female,bachelor,7799.463082427189,17453.0,118.0,1.0,personal auto,suv,566.4
north west,male,bachelor,7799.463082427189,55663.0,166.0,0.0,personal auto,suv,194.739777
east,male,master,7799.463082427189,73196.0,66.0,1.0,personal auto,four-door car,85.809817
north west,female,high school or below,7799.463082427189,58577.0,110.0,0.0,personal auto,suv,303.872752
central,female,high school or below,7799.463082427189,88055.0,71.0,0.0,personal auto,four-door car,337.727542
west region,male,bachelor,7799.463082427189,,80.0,0.0,personal auto,four-door car,384.0
west region,male,high school or below,7799.463082427189,80892.0,110.0,0.0,personal auto,suv,528.0
central,female,master,7799.463082427189,34990.0,65.0,0.0,corporate auto,four-door car,42.689135
west region,male,bachelor,7799.463082427189,37124.0,72.0,0.0,personal auto,two-door car,430.518791
west region,female,high school or below,7799.463082427189,22236.0,62.0,0.0,personal auto,two-door car,409.425049
east,female,master,7799.463082427189,97131.0,64.0,0.0,personal auto,four-door car,307.2
north west,female,bachelor,7799.463082427189,67760.0,74.0,0.0,special auto,four-door car,465.278453
central,female,bachelor,7799.463082427189,,69.0,0.0,personal auto,four-door car,97.691104
central,male,bachelor,7799.463082427189,,62.0,1.0,personal auto,two-door car,307.649586
west region,male,high school or below,7799.463082427189,37473.0,70.0,0.0,corporate auto,four-door car,336.0
east,female,high school or below,7799.463082427189,32314.0,68.0,0.0,personal auto,four-door car,326.4
central,male,bachelor,7799.463082427189,49214.0,102.0,3.0,corporate auto,four-door car,371.322406
north west,female,high school or below,7799.463082427189,49851.0,69.0,1.0,personal auto,four-door car,331.2
east,male,high school or below,7799.463082427189,27951.0,91.0,0.0,personal auto,four-door car,436.8
central,female,bachelor,7799.463082427189,,95.0,0.0,corporate auto,two-door car,456.0
central,female,master,7799.463082427189,56410.0,117.0,0.0,personal auto,suv,523.99823
central,female,bachelor,7799.463082427189,22497.0,212.0,0.0,special auto,luxury car,1017.6
central,female,bachelor,7799.463082427189,61347.0,106.0,0.0,personal auto,suv,604.237801
central,female,bachelor,7799.463082427189,37803.0,74.0,0.0,personal auto,four-door car,355.2
central,female,master,7799.463082427189,91276.0,105.0,0.0,personal auto,suv,504.0
north west,male,bachelor,7799.463082427189,30816.0,87.0,0.0,personal auto,two-door car,237.57033
north west,female,bachelor,7799.463082427189,41968.0,67.0,0.0,corporate auto,four-door car,183.207703
central,male,master,7799.463082427189,35754.0,199.0,0.0,personal auto,luxury car,612.973779
west region,female,master,7799.463082427189,36706.0,71.0,0.0,personal auto,four-door car,435.606086
east,male,high school or below,7799.463082427189,48258.0,249.0,0.0,personal auto,luxury car,1195.2
central,male,master,7799.463082427189,52965.0,134.0,3.0,personal auto,suv,83.815183
north west,male,bachelor,7799.463082427189,,84.0,0.0,personal auto,four-door car,604.8
north west,female,bachelor,7799.463082427189,,65.0,0.0,personal auto,four-door car,455.644704
north west,male,high school or below,7799.463082427189,62634.0,116.0,0.0,personal auto,suv,122.017931
north west,female,bachelor,7799.463082427189,96917.0,61.0,0.0,special auto,four-door car,71.942176
central,female,high school or below,7799.463082427189,76157.0,116.0,0.0,personal auto,two-door car,556.8
west region,female,bachelor,7799.463082427189,53219.0,117.0,0.0,corporate auto,suv,561.6
central,female,bachelor,7799.463082427189,81412.0,109.0,0.0,personal auto,two-door car,344.294164
west region,female,bachelor,7799.463082427189,59744.0,105.0,0.0,personal auto,suv,476.486416
west region,female,bachelor,7799.463082427189,38898.0,117.0,0.0,corporate auto,suv,561.6
west region,male,high school or below,7799.463082427189,,94.0,2.0,personal auto,four-door car,17.938979
north west,female,bachelor,7799.463082427189,99961.0,66.0,2.0,personal auto,four-door car,316.8
north west,male,high school or below,7799.463082427189,30886.0,91.0,0.0,personal auto,two-door car,103.424766
east,female,master,7799.463082427189,35984.0,128.0,3.0,personal auto,suv,275.577631
central,female,bachelor,7799.463082427189,,125.0,4.0,personal auto,suv,539.5622
west region,male,high school or below,7799.463082427189,,181.0,0.0,personal auto,luxury car,1303.2
north west,male,master,7799.463082427189,,139.0,0.0,personal auto,suv,667.2
central,male,master,7799.463082427189,60244.0,83.0,3.0,personal auto,four-door car,326.281835
west region,female,high school or below,7799.463082427189,,72.0,0.0,personal auto,four-door car,518.4
west region,female,bachelor,7799.463082427189,37553.0,187.0,0.0,personal auto,luxury car,897.6
central,male,bachelor,7799.463082427189,,73.0,0.0,personal auto,four-door car,525.6
north west,male,bachelor,7799.463082427189,60475.0,107.0,0.0,personal auto,four-door car,513.6
central,male,doctor,7799.463082427189,,111.0,0.0,personal auto,suv,672.91665
west region,male,bachelor,7799.463082427189,,136.0,2.0,personal auto,suv,979.2
west region,male,master,7799.463082427189,25545.0,69.0,0.0,personal auto,four-door car,331.2
central,male,master,7799.463082427189,24182.0,66.0,0.0,personal auto,four-door car,316.8
north west,female,high school or below,7799.463082427189,80979.0,84.0,2.0,personal auto,four-door car,25.961213
central,male,bachelor,7799.463082427189,,62.0,0.0,corporate auto,four-door car,446.4
central,female,high school or below,7799.463082427189,,74.0,0.0,personal auto,four-door car,47.502366
north west,male,bachelor,7799.463082427189,29250.0,64.0,0.0,personal auto,two-door car,308.240792
west region,female,master,7799.463082427189,33566.0,63.0,1.0,personal auto,four-door car,205.043307
east,female,bachelor,7799.463082427189,65247.0,72.0,0.0,corporate auto,four-door car,381.238176
west region,male,high school or below,7799.463082427189,39650.0,86.0,0.0,personal auto,four-door car,922.335972
west region,male,bachelor,7799.463082427189,,101.0,4.0,personal auto,suv,960.115399
north west,male,bachelor,7799.463082427189,82680.0,68.0,0.0,corporate auto,four-door car,326.4
west region,male,high school or below,7799.463082427189,,111.0,0.0,corporate auto,two-door car,799.2
north west,male,bachelor,7799.463082427189,,129.0,0.0,personal auto,suv,619.2
north west,male,bachelor,7799.463082427189,,69.0,0.0,personal auto,two-door car,460.741097
central,male,bachelor,7799.463082427189,,61.0,1.0,special auto,four-door car,439.2
central,male,high school or below,7799.463082427189,86834.0,64.0,0.0,corporate auto,four-door car,0.099007
central,female,bachelor,7799.463082427189,46143.0,122.0,0.0,personal auto,suv,223.028356
west region,male,doctor,7799.463082427189,21275.0,240.0,0.0,personal auto,luxury suv,1152.0
central,male,high school or below,7799.463082427189,47746.0,106.0,0.0,personal auto,suv,246.696768
west region,male,bachelor,7799.463082427189,51675.0,196.0,0.0,corporate auto,sports car,940.8
west region,male,bachelor,7799.463082427189,85522.0,64.0,0.0,personal auto,four-door car,165.002742
north west,male,high school or below,7799.463082427189,,63.0,4.0,personal auto,two-door car,753.22565
north west,female,bachelor,7799.463082427189,,84.0,0.0,corporate auto,four-door car,633.294203
north west,male,bachelor,7799.463082427189,55632.0,123.0,0.0,personal auto,suv,478.609999
central,male,high school or below,7799.463082427189,,93.0,0.0,special auto,four-door car,669.6
north west,male,bachelor,7799.463082427189,,78.0,0.0,special auto,two-door car,374.4
central,male,bachelor,7799.463082427189,69152.0,89.0,4.0,personal auto,four-door car,221.359492
north west,male,bachelor,7799.463082427189,13476.0,67.0,2.0,corporate auto,four-door car,433.588181
east,female,high school or below,7799.463082427189,,105.0,0.0,personal auto,suv,914.538629
north west,female,bachelor,7799.463082427189,33252.0,71.0,0.0,personal auto,four-door car,407.668083
central,male,bachelor,7799.463082427189,,102.0,1.0,personal auto,suv,734.4
north west,female,bachelor,7799.463082427189,59456.0,189.0,0.0,personal auto,luxury car,907.2
west region,female,bachelor,7799.463082427189,88989.0,63.0,1.0,personal auto,four-door car,232.745161
central,male,high school or below,7799.463082427189,,107.0,0.0,corporate auto,suv,513.6
west region,female,bachelor,7799.463082427189,17034.0,113.0,0.0,personal auto,sports car,542.4
central,female,bachelor,7799.463082427189,88435.0,62.0,0.0,personal auto,four-door car,136.263492
west region,female,high school or below,7799.463082427189,71445.0,70.0,2.0,personal auto,four-door car,336.0
west region,male,bachelor,7799.463082427189,72149.0,101.0,0.0,personal auto,suv,69.310166
north west,female,bachelor,7799.463082427189,23376.0,78.0,0.0,personal auto,four-door car,374.4
north west,male,high school or below,7799.463082427189,44788.0,61.0,0.0,personal auto,four-door car,386.031248
east,female,bachelor,7799.463082427189,69379.0,103.0,0.0,personal auto,two-door car,494.4
north west,female,bachelor,7799.463082427189,38521.0,134.0,0.0,personal auto,suv,557.184015
west region,male,high school or below,7799.463082427189,34482.0,67.0,0.0,personal auto,four-door car,83.830109
west region,female,bachelor,7799.463082427189,,68.0,0.0,personal auto,four-door car,487.345606
west region,male,bachelor,7799.463082427189,37256.0,62.0,0.0,corporate auto,four-door car,128.969729
east,female,bachelor,7799.463082427189,77311.0,181.0,0.0,personal auto,suv,113.609508
north west,male,bachelor,7799.463082427189,39268.0,66.0,1.0,personal auto,four-door car,188.870427
central,male,bachelor,7799.463082427189,59644.0,79.0,0.0,corporate auto,four-door car,379.2
north west,female,high school or below,7799.463082427189,,68.0,0.0,personal auto,four-door car,326.4
central,female,bachelor,7799.463082427189,23376.0,78.0,0.0,personal auto,four-door car,374.4
central,female,bachelor,7799.463082427189,50854.0,73.0,0.0,personal auto,four-door car,101.489422
north west,female,bachelor,7799.463082427189,35158.0,76.0,0.0,personal auto,four-door car,165.958605
central,female,high school or below,7799.463082427189,15413.0,106.0,0.0,personal auto,suv,508.8
north west,male,bachelor,7799.463082427189,17860.0,99.0,2.0,personal auto,two-door car,656.122925
central,female,master,7799.463082427189,16181.0,181.0,0.0,personal auto,suv,1261.319869
central,male,high school or below,7799.463082427189,91182.0,96.0,0.0,personal auto,four-door car,249.140907
north west,female,bachelor,7799.463082427189,41154.0,72.0,1.0,personal auto,four-door car,345.6
central,male,high school or below,7799.463082427189,18746.0,68.0,0.0,personal auto,four-door car,326.4
north west,female,bachelor,7799.463082427189,70277.0,80.0,0.0,personal auto,four-door car,84.818806
north west,female,bachelor,7799.463082427189,,66.0,0.0,personal auto,four-door car,668.158687
west region,male,bachelor,7799.463082427189,24919.0,84.0,1.0,personal auto,four-door car,420.420755
north west,male,bachelor,7799.463082427189,,79.0,0.0,personal auto,four-door car,335.234102
central,female,high school or below,7799.463082427189,,96.0,0.0,personal auto,four-door car,460.8
central,female,high school or below,7799.463082427189,46370.0,68.0,1.0,personal auto,two-door car,326.4
central,female,master,7799.463082427189,89918.0,115.0,0.0,personal auto,suv,423.116739
north west,female,high school or below,7799.463082427189,37138.0,85.0,0.0,personal auto,two-door car,612.0
central,male,high school or below,7799.463082427189,19683.0,117.0,1.0,personal auto,sports car,561.6
north west,female,bachelor,7799.463082427189,32214.0,100.0,0.0,personal auto,suv,296.560998
west region,female,bachelor,7799.463082427189,26472.0,74.0,0.0,personal auto,four-door car,355.2
west region,female,bachelor,7799.463082427189,39841.0,72.0,0.0,personal auto,two-door car,440.128707
central,female,high school or below,7799.463082427189,51085.0,62.0,1.0,personal auto,two-door car,406.902001
central,male,bachelor,7799.463082427189,61006.0,74.0,0.0,corporate auto,four-door car,73.919629
west region,male,bachelor,7799.463082427189,34148.0,109.0,0.0,personal auto,four-door car,451.566751
east,male,high school or below,7799.463082427189,95697.0,61.0,0.0,personal auto,two-door car,114.273025
central,female,bachelor,7799.463082427189,75685.0,73.0,0.0,personal auto,four-door car,369.918482
west region,male,high school or below,7799.463082427189,20870.0,72.0,0.0,personal auto,four-door car,345.6
central,female,high school or below,7799.463082427189,66900.0,68.0,0.0,personal auto,four-door car,326.4
central,female,bachelor,7799.463082427189,,106.0,1.0,special auto,suv,508.8
north west,male,high school or below,7799.463082427189,37043.0,68.0,3.0,personal auto,two-door car,30.984936
west region,male,bachelor,7799.463082427189,42837.0,106.0,0.0,personal auto,suv,290.580543
west region,male,bachelor,7799.463082427189,33305.0,62.0,0.0,special auto,four-door car,353.77899
central,female,high school or below,7799.463082427189,,103.0,0.0,personal auto,sports car,558.281543
north west,female,high school or below,7799.463082427189,24823.0,69.0,0.0,personal auto,four-door car,229.279059
central,male,bachelor,7799.463082427189,98192.0,84.0,1.0,personal auto,four-door car,403.2
central,female,bachelor,7799.463082427189,88249.0,108.0,0.0,personal auto,suv,244.803741
east,male,master,7799.463082427189,54585.0,71.0,1.0,personal auto,two-door car,340.8
north west,female,master,7799.463082427189,39770.0,117.0,0.0,personal auto,two-door car,561.6
central,male,master,7799.463082427189,85367.0,85.0,0.0,personal auto,four-door car,67.975243
west region,male,bachelor,7799.463082427189,74809.0,61.0,0.0,personal auto,two-door car,283.787384
west region,male,bachelor,7799.463082427189,50144.0,114.0,0.0,personal auto,suv,786.934186
north west,male,master,7799.463082427189,20075.0,79.0,1.0,personal auto,two-door car,483.731784
west region,female,high school or below,7799.463082427189,76448.0,63.0,0.0,personal auto,four-door car,302.4
west region,male,high school or below,7799.463082427189,59556.0,113.0,0.0,personal auto,sports car,681.505066
central,male,bachelor,7799.463082427189,14174.0,72.0,0.0,personal auto,four-door car,345.6
north west,male,high school or below,7799.463082427189,35230.0,61.0,1.0,personal auto,four-door car,16.214764
west region,male,high school or below,7799.463082427189,,91.0,0.0,corporate auto,four-door car,436.8
east,female,bachelor,7799.463082427189,,73.0,0.0,corporate auto,four-door car,350.4
central,male,high school or below,7799.463082427189,,114.0,0.0,corporate auto,four-door car,547.2
north west,male,high school or below,7799.463082427189,51352.0,66.0,3.0,personal auto,four-door car,95.661376
west region,male,bachelor,7799.463082427189,76675.0,72.0,0.0,personal auto,four-door car,141.718568
central,male,bachelor,7799.463082427189,,68.0,0.0,personal auto,four-door car,326.4
central,male,bachelor,7799.463082427189,,72.0,2.0,personal auto,two-door car,297.419028
central,female,high school or below,7799.463082427189,94242.0,71.0,1.0,personal auto,four-door car,41.229484
north west,female,bachelor,7799.463082427189,,113.0,0.0,personal auto,four-door car,217.92632
west region,female,high school or below,7799.463082427189,71153.0,122.0,0.0,corporate auto,sports car,209.019238
central,male,high school or below,7799.463082427189,63326.0,225.0,0.0,personal auto,luxury car,1080.0
west region,female,bachelor,7799.463082427189,29629.0,71.0,4.0,special auto,four-door car,228.443418
central,male,high school or below,7799.463082427189,,69.0,0.0,corporate auto,four-door car,599.152722
west region,female,master,7799.463082427189,23726.0,74.0,0.0,corporate auto,four-door car,355.2
central,female,high school or below,7799.463082427189,48999.0,86.0,3.0,corporate auto,four-door car,412.8
north west,female,bachelor,7799.463082427189,13037.0,124.0,0.0,personal auto,suv,839.348464
central,male,bachelor,7799.463082427189,24245.0,63.0,0.0,corporate auto,two-door car,302.4
central,male,bachelor,7799.463082427189,44047.0,137.0,0.0,corporate auto,sports car,969.232217
north west,female,bachelor,7799.463082427189,91942.0,117.0,0.0,personal auto,four-door car,561.6
north west,female,high school or below,7799.463082427189,37640.0,67.0,0.0,personal auto,two-door car,174.046849
west region,female,high school or below,7799.463082427189,77058.0,63.0,0.0,personal auto,four-door car,119.331041
north west,male,high school or below,7799.463082427189,,73.0,0.0,corporate auto,four-door car,525.6
west region,female,bachelor,7799.463082427189,63755.0,62.0,0.0,personal auto,two-door car,291.860708
west region,female,doctor,7799.463082427189,37384.0,99.0,0.0,personal auto,four-door car,475.2
east,male,master,7799.463082427189,42557.0,65.0,0.0,personal auto,four-door car,57.562324
east,female,high school or below,7799.463082427189,45473.0,76.0,0.0,special auto,two-door car,188.938397
central,male,bachelor,7799.463082427189,10743.0,70.0,2.0,personal auto,two-door car,336.0
north west,female,high school or below,7799.463082427189,,113.0,0.0,personal auto,four-door car,813.6
central,female,bachelor,7799.463082427189,,61.0,0.0,personal auto,four-door car,283.881697
central,female,high school or below,7799.463082427189,,64.0,3.0,personal auto,four-door car,575.890362
west region,male,bachelor,7799.463082427189,75644.0,65.0,3.0,personal auto,two-door car,467.803638
north west,male,bachelor,7799.463082427189,63455.0,61.0,0.0,personal auto,two-door car,287.654819
north west,male,bachelor,7799.463082427189,73782.0,76.0,0.0,special auto,four-door car,111.622054
north west,female,bachelor,7799.463082427189,80590.0,71.0,0.0,corporate auto,four-door car,134.158389
west region,female,bachelor,7799.463082427189,59797.0,127.0,0.0,personal auto,suv,609.6
central,female,bachelor,7799.463082427189,48567.0,130.0,0.0,personal auto,suv,624.0
west region,male,bachelor,7799.463082427189,62470.0,66.0,0.0,personal auto,two-door car,243.766542
east,female,bachelor,7799.463082427189,57338.0,66.0,0.0,personal auto,four-door car,316.8
central,female,high school or below,7799.463082427189,63288.0,199.0,0.0,personal auto,luxury car,558.433218
central,male,bachelor,7799.463082427189,55281.0,192.0,1.0,personal auto,luxury suv,921.6
central,female,bachelor,7799.463082427189,22985.0,77.0,0.0,special auto,four-door car,458.056054
west region,female,bachelor,7799.463082427189,39608.0,78.0,1.0,corporate auto,four-door car,22.961216
west region,female,high school or below,7799.463082427189,99189.0,117.0,0.0,corporate auto,suv,75.302707
north west,male,high school or below,7799.463082427189,,112.0,0.0,personal auto,four-door car,574.102379
west region,male,bachelor,7799.463082427189,,92.0,0.0,personal auto,four-door car,514.360634
north west,male,bachelor,7799.463082427189,58089.0,118.0,0.0,personal auto,suv,566.4
central,female,bachelor,7799.463082427189,81350.0,110.0,0.0,personal auto,suv,228.185834
west region,female,high school or below,7799.463082427189,,65.0,0.0,personal auto,two-door car,731.289267
north west,male,bachelor,7799.463082427189,43704.0,201.0,0.0,personal auto,luxury suv,1064.482165
north west,male,bachelor,7799.463082427189,75497.0,100.0,0.0,personal auto,suv,71.773341
west region,male,doctor,7799.463082427189,40372.0,85.0,0.0,corporate auto,four-door car,76.975713
north west,female,bachelor,7799.463082427189,17489.0,85.0,0.0,corporate auto,four-door car,587.689075
central,female,high school or below,7799.463082427189,86277.0,74.0,0.0,personal auto,four-door car,212.039619
central,female,bachelor,7799.463082427189,,63.0,0.0,personal auto,four-door car,453.6
west region,male,bachelor,7799.463082427189,,74.0,0.0,corporate auto,four-door car,355.2
east,male,bachelor,7799.463082427189,49078.0,97.0,0.0,special auto,four-door car,484.013411
west region,male,high school or below,7799.463082427189,81082.0,73.0,0.0,personal auto,four-door car,281.295903
west region,male,bachelor,7799.463082427189,,116.0,2.0,personal auto,sports car,835.2
central,female,bachelor,7799.463082427189,40635.0,102.0,0.0,personal auto,suv,489.6
north west,female,bachelor,7799.463082427189,26351.0,119.0,0.0,personal auto,suv,571.2
north west,male,high school or below,7799.463082427189,,80.0,0.0,personal auto,four-door car,824.487259
central,female,bachelor,7799.463082427189,42836.0,89.0,0.0,corporate auto,four-door car,244.580023
north west,male,doctor,7799.463082427189,40175.0,102.0,1.0,personal auto,suv,154.721555
west region,male,bachelor,7799.463082427189,62873.0,81.0,0.0,personal auto,four-door car,207.75186
central,female,high school or below,7799.463082427189,,74.0,0.0,personal auto,two-door car,588.936956
west region,female,bachelor,7799.463082427189,50985.0,71.0,0.0,personal auto,two-door car,307.68931
central,male,high school or below,7799.463082427189,,116.0,0.0,personal auto,two-door car,835.2
central,male,bachelor,7799.463082427189,42803.0,245.0,0.0,personal auto,luxury car,889.288242
north west,male,bachelor,7799.463082427189,,69.0,1.0,personal auto,two-door car,624.980751
central,male,high school or below,7799.463082427189,35970.0,98.0,0.0,corporate auto,four-door car,470.4
central,male,bachelor,7799.463082427189,44537.0,106.0,0.0,corporate auto,sports car,441.907057
central,male,bachelor,7799.463082427189,13528.0,86.0,0.0,personal auto,four-door car,412.8
central,female,bachelor,7799.463082427189,14030.0,72.0,0.0,personal auto,two-door car,345.6
central,male,bachelor,7799.463082427189,,64.0,0.0,corporate auto,four-door car,492.644465
central,female,bachelor,7799.463082427189,33190.0,106.0,0.0,personal auto,suv,508.8
central,male,bachelor,7799.463082427189,,100.0,0.0,personal auto,sports car,61.580247
central,female,bachelor,7799.463082427189,21033.0,118.0,0.0,personal auto,two-door car,738.975495
east,male,bachelor,7799.463082427189,26285.0,84.0,0.0,corporate auto,four-door car,403.2
west region,female,bachelor,7799.463082427189,,74.0,0.0,corporate auto,four-door car,65.953005
east,female,bachelor,7799.463082427189,73245.0,68.0,0.0,personal auto,four-door car,305.121363
west region,male,bachelor,7799.463082427189,,119.0,0.0,personal auto,suv,244.816163
west region,male,high school or below,7799.463082427189,,61.0,0.0,personal auto,four-door car,616.279356
north west,male,bachelor,7799.463082427189,74365.0,193.0,0.0,corporate auto,luxury car,926.4
north west,male,doctor,7799.463082427189,30821.0,97.0,0.0,personal auto,four-door car,451.319227
central,female,high school or below,7799.463082427189,69844.0,68.0,0.0,corporate auto,four-door car,184.379697
north west,male,bachelor,7799.463082427189,,124.0,0.0,personal auto,suv,595.2
north west,male,master,7799.463082427189,55836.0,73.0,0.0,personal auto,four-door car,314.936185
north west,male,high school or below,7799.463082427189,40352.0,77.0,0.0,corporate auto,four-door car,406.367233
central,female,bachelor,7799.463082427189,14985.0,116.0,0.0,personal auto,sports car,571.319514
central,female,doctor,7799.463082427189,27458.0,131.0,1.0,personal auto,sports car,730.373515
north west,female,bachelor,7799.463082427189,56343.0,295.0,0.0,personal auto,luxury car,1612.962321
west region,female,bachelor,7799.463082427189,12780.0,111.0,2.0,personal auto,sports car,225.437098
west region,female,bachelor,7799.463082427189,68558.0,131.0,0.0,personal auto,suv,280.903779
west region,female,bachelor,7799.463082427189,47747.0,111.0,0.0,personal auto,two-door car,165.588524
north west,male,bachelor,7799.463082427189,16113.0,81.0,0.0,corporate auto,four-door car,494.890996
north west,male,bachelor,7799.463082427189,,79.0,0.0,personal auto,four-door car,379.2
west region,female,high school or below,7799.463082427189,39626.0,69.0,0.0,personal auto,four-door car,485.705851
west region,female,high school or below,7799.463082427189,49304.0,65.0,0.0,corporate auto,four-door car,312.0
north west,male,high school or below,7799.463082427189,27972.0,61.0,0.0,personal auto,four-door car,292.8
west region,female,bachelor,7799.463082427189,27568.0,68.0,0.0,personal auto,two-door car,278.689331
east,male,bachelor,7799.463082427189,25905.0,63.0,0.0,personal auto,four-door car,302.4
east,male,bachelor,7799.463082427189,21442.0,108.0,0.0,corporate auto,suv,518.4
central,female,high school or below,7799.463082427189,34516.0,113.0,3.0,special auto,four-door car,42.950852
central,male,high school or below,7799.463082427189,,68.0,0.0,personal auto,four-door car,342.468248
north west,female,bachelor,7799.463082427189,28354.0,118.0,0.0,personal auto,two-door car,320.327775
central,female,bachelor,7799.463082427189,,72.0,0.0,personal auto,two-door car,345.6
west region,male,master,7799.463082427189,37722.0,116.0,0.0,personal auto,sports car,158.077504
central,female,bachelor,7799.463082427189,32021.0,70.0,0.0,personal auto,four-door car,336.0
north west,female,bachelor,7799.463082427189,13393.0,73.0,0.0,personal auto,four-door car,34.708194
north west,male,bachelor,7799.463082427189,13624.0,117.0,0.0,personal auto,sports car,561.6
central,female,bachelor,7799.463082427189,27800.0,67.0,0.0,personal auto,two-door car,321.6
west region,female,bachelor,7799.463082427189,58419.0,191.0,0.0,personal auto,luxury car,202.468807
central,male,high school or below,7799.463082427189,50407.0,92.0,0.0,personal auto,four-door car,352.060768
central,female,bachelor,7799.463082427189,,84.0,0.0,personal auto,four-door car,856.347474
east,male,high school or below,7799.463082427189,77603.0,114.0,0.0,personal auto,suv,547.2
west region,female,bachelor,7799.463082427189,75606.0,119.0,0.0,personal auto,four-door car,571.2
central,male,bachelor,7799.463082427189,41458.0,98.0,0.0,personal auto,four-door car,191.100227
north west,male,bachelor,7799.463082427189,,74.0,0.0,personal auto,two-door car,420.765993
east,male,high school or below,7799.463082427189,,82.0,0.0,personal auto,two-door car,445.001296
central,female,bachelor,7799.463082427189,70619.0,187.0,0.0,personal auto,luxury car,293.948632
west region,male,doctor,7799.463082427189,41273.0,77.0,0.0,personal auto,four-door car,221.226696
central,female,bachelor,7799.463082427189,46946.0,70.0,0.0,personal auto,four-door car,336.0
north west,male,bachelor,7799.463082427189,,113.0,0.0,corporate auto,four-door car,542.4
north west,male,bachelor,7799.463082427189,99180.0,106.0,0.0,personal auto,suv,33.751887
west region,female,bachelor,7799.463082427189,55350.0,67.0,0.0,personal auto,four-door car,321.6
west region,male,bachelor,7799.463082427189,28215.0,65.0,0.0,personal auto,two-door car,468.0
central,female,bachelor,7799.463082427189,75425.0,116.0,1.0,personal auto,sports car,663.643801
central,female,high school or below,7799.463082427189,63583.0,83.0,0.0,special auto,four-door car,167.39959
west region,male,bachelor,7799.463082427189,,66.0,0.0,personal auto,four-door car,475.2
central,female,high school or below,7799.463082427189,37995.0,139.0,0.0,personal auto,suv,667.2
central,female,master,7799.463082427189,37125.0,63.0,0.0,personal auto,four-door car,290.911693
